Tupi,Tradução,Citação
...Îase'o rakó perekó peẽmo teîkeara moetesabamo...,"Estai com pranto, como modo de honrar o que entra para junto de vós.","Ar., Cat., 85v"
Xe py-'ir.,"Eu estava de pés soltos, meus pés soltaram-se (p.ex., subindo eu a escada).","VLB, I, 122"
Xe ramati'ã,"meu clítoris, meu tamatiá","Léry, Histoire, 366"
Na xe apysáî.,"Não dou ouvidos, não me importo.","VLB, II, 46, 122"
Xe ate'ẽ.,Manquejo.,"VLB, II, 31"
abá-poromborybe'yma,homem intolerante,"VLB, II, 114"
"Abaré nd'ogûerobîari, putuna rupi okagûabo.","Não crêem no padre, bebendo cauim ao longo da noite.","Anch., Teatro, 136-150"
...Sobá resé onhenomũ-nomuna...,Em seu rosto ficando a cuspir.,"Ar., Cat., 56v"
Ixé-tene îaeté.,Obra-prima sou eu.,"VLB, II, 86"
Mba'e resépe ereîur xe remiaûsukatu gûi?...,"Por que vieste, ó meu muito amado?","Ar., Cat., 54"
paranã robaîkatu...,bem em frente do mar,"Valente, Cantigas, V, in Ar., Cat., 1618"
"Anheté, kó nde rapé, a'e nde remiekara.","Verdadeiramente, eis aqui teu caminho, o que tu procuras.","Anch., Teatro, 162"
Mamõpe i xóû o mba'e-'u-pab'iré?,Aonde ele foi após acabar de comer?,"Ar., Cat., 52v"
"Oîké îugûasu i akanga kutuka, opá i mombuka.","Entram grandes espinhos, espetando sua cabeça, furando-a toda.","Anch., Poemas, 122"
Asysy-mondok.,Cortei a fila deles.,"VLB, I, 83; 68"
so'o ré,gosto de carne,"VLB, I, 149"
apŷabebé remi'u...,comida dos anjos...,"Valente, Cantigas, VIII, in Ar., Cat., 1618"
mba'e rerosapukaîtara,"o que anuncia as coisas, o pregador","VLB, II, 84"
Ten amo'e.,Faço-o ficar com firmeza.,"Anch., Arte, 57"
îoapixaba,ferimentos mútuos,"Anch., Teatro, 54"
Xe remimby.,"Eu tenho buzina, eu buzino.","VLB, I, 58"
pyteri,"no meio de, no centro de","Anch., Arte, 41"
Aînupã apyri'í.,Daqui a pouquinho castigo-o.,"VLB, I, 89"
"A'epe missa rendupa, ...eresó.",Ias ali para ouvir a missa.,"Anch., Poemas, 154"
...o aobusu mondoró-ndoroka...,...suas túnicas ficando a rasgar.,"Ar., Cat., 56v"
abá-pûapẽîara,homem sovina,"VLB, II, 139"
T'onhemoma'enduá-katu Tupã o 'anga momorotingûera resé...,Que se lembre bem de que Deus branqueou sua alma.,"Ar., Cat., 188"
...tupãmongetá pupé...,por meio da oração,"Ar., Cat., 48v"
ybyrá-pesembûera,lasca de madeira,"VLB, II, 19"
Îandé manhana ranhẽ t'osó îandé renondé...,"Nosso espião vá primeiro, à frente de nós.","Anch., Teatro, 20"
Kó tupãoka pupé Maria kakuabi...,Dentro dessa igreja Maria cresceu.,"Ar., Cat., 8v"
...T'oîmoîa'ok nde membyra tekokatu'ĩ amõ orébe.,Que reparta teu filho um pouquinho de virtude conosco.,"Ar., Cat., 32v"
Tupã resápe ã xe rekóû...,Eis que estou à vista de Deus.,"Ar., Cat., 66"
"...Aîmomoxy pabenhẽ, ...i momondarõmo bé.","Arruinei a todos, fazendo-os roubar também.","Anch., Teatro, 132"
"O mba'e, nipó, asé o py'a pupé saûsubi.","Suas próprias coisas, na verdade, a gente ama em seu coração.","Anch., Teatro, 28"
Oré re'yî.,Nós somos numerosos.,"VLB, I, 51"
pobandara,"o que fia (Fig., Arte, 119), fiandeira","VLB, I, 138"
Maria t'îambory...,Que alegremos a Maria.,"Anch., Poemas, 188"
itamaraká-mirĩ,"sineta de mão, sinozinho manual, campainha","VLB, I, 64"
Nd'e'i te'e moxy onhana...,Por isso mesmo as malditas correm.,"Anch., Teatro, 128"
"-A'u temõ mba'eaíba mã, a'emo nhẽ xe re'õû...","Ah, quem me dera comer veneno para que eu morresse...","Anch., Doutr. Cristã, II, 102"
gûyragûasu-aba,pena de gavião,"Léry, Histoire, 349; VLB, I, 48"
Iî ikeboka,a abertura da saia dela,"VLB, II, 30"
Xe roryb nde só resé.,Eu estou feliz por causa de tua ida.,"Anch., Arte, 27"
Mba'e angaba'eamẽ.,É coisa que falta.,"VLB, II, 15"
Aîubĩote.,Estou quieto.,"VLB, II, 7"
Mba'e i 'upyra resé nhõpe asé îeruréû Tupã supé?,A gente pede a Deus somente pelas coisas que deve comer?,"Ar., Cat., 27v"
Tekatueté mã!,"Ah, que atrevido!","VLB, II, 123"
yby-esapykanga,ribanceira da terra,"VLB, I, 52"
"I kambuneme, sory.","Quando ele mama, ela fica alegre.","Anch., Poemas, 162"
"Xe, Tatapytera, xe tatagûasu îabé, asapy nhemoŷrõmbûera.","Eu, Tatapitera, assim como meu grande fogo, inflamo os antigos ódios.","Anch., Teatro, 128"
...A'e ygarusu pupé sero'arukáno.,Dentro daquele navio fazendo-os embarcar consigo também.,"Ar., Cat., 41v"
'arangaturameté...,dia muito bom,"Anch., Poemas, 94"
...A'eîbé korite'ĩ-aíb-eté serasóû aûîeramanhẽ tatápe...,"Logo então, em um momento, leva-o para sempre para o fogo.","Ar., Cat., 159v"
Xe nhe'enga nhõ ereîporaká.,Minhas palavras somente cumprirás.,"Ar., Cat., 159v"
pirá-poxy,"peixe imprestável (isto é, que não é bom para se comer)","Léry, Histoire, 297, 1994"
"Irõ, oîepé tiruã pecado n'aromanõî!","Portanto, não morri com um pecado sequer!","Anch., Teatro, 172"
'a-putu'uma,miolos de cabeça,"VLB, II, 37"
T'osẽ anhanga i xuí...,Que saia o diabo dela.,"Anch., Poemas, 146"
Osapîápe Pilatos i nhe'enga a'ereme ko'yté?,"Obedeceu, enfim, Pilatos à sua palavra, então?","Ar., Cat., 61"
Asakypûemomosem.,Sigo-lhe o rastro.,"VLB, II, 115"
"Xe-te, xe rembiá-potá sabeypora amõ resé...","Eu, em vez disso, quero presas nas pessoas de alguns bêbados.","Anch., Teatro, 148"
itá sosé,sobre a pedra,"Anch., Arte, 43v"
...apŷabaíba... rekoaba é...,característica de homem mau,"Ar., Cat., 107v"
Xe robaké aîpó i 'éû.,Na minha frente ele disse isso.,"VLB, II, 81"
"Îandé 'apytera 'arybo 'ara rume, xe ruri.","Quando o sol estava no alto de nossas cabeças, eu vim.","VLB, I, 112; Castilho, Nomes, 29"
...I aŷpy atyká-tykábo...,Sua cerviz ficando a esmurrar.,"Ar., Cat., 56v"
Xe îá-xe îaó.,"Eu estou chagado, eu tenho muitas chagas.","VLB, I, 71"
Aîmokûar.,Furei-o.,"VLB, I, 60"
tapi'i-kaba,gordura de vaca,"VLB, II, 31"
'y-embe'yba,"margem de rio, praia, ourela de mar ou rio","VLB, II, 60"
T'ame'ẽne pirá ruba endébo...,Hei de dar ovas de peixe para ti.,"Anch., Teatro, 44"
aembé-koroîa,"fio embotado (de faca, de machado, etc.)","VLB, I, 44"
Kagûarape marã? Nd'oîabyîpe Tupã nhe'enga?,"E os que bebem cauim, como ficam? Não transgridem a palavra de Deus?","Anch., Diál. da Fé, 203"
A'e-te kaûĩ pûaîtara.,Mas são eles os que mandam fazer cauim.,"Anch., Teatro, 34"
Aîasekó.,Estou dependurado.,"VLB, I, 94"
Xe pobebuî.,Eu sou ligeiro de mãos.,"VLB, II, 22"
Anotĩ xe aíba.,Envergonho-me de minha feiúra.,"VLB, I, 83"
Marã eré-p'amẽ eporombo'ebo?,"Que dizes, de costume, ensinando as pessoas?","Ar., Cat., 55v"
O tekokuabe'ymamo nhẽ emonã xe rerekóû...,"Sendo ignorantes, sem mais, assim me tratam.","Ar., Cat., 63"
...Saûsuba rerekóbo...,Tendo-lhe amor.,"Anch., Poemas, 86"
Kote'ĩ turi kó.,Eis que aqui pertinho vem.,"VLB, I, 109"
Nde arurupe abá nde rapixara rerekó-katureme?,Tu te entristeceste ao alguém tratar bem teu próximo?,"Ar., Cat., 102"
"I nem-eté, i tuîuk-eté, tasoka, ura remimongûyamone.","Serão fedorentos, serão muito podres, corroídos de vermes e de bernes.","Ar., Cat., 164"
Asó nhẽ.,Vou por ir (sem algum fim).,"Anch., Arte, 54"
Xe resaraî é gûitekóbo.,Eu estava-me esquecendo mesmo.,"Anch., Teatro, 178"
Aîpukusamb-ok.,Soltei as peias dos pés dele.,"VLB, II, 120"
Xe apysy-katu sekoápe.,Estava muito satisfeito na morada deles.,"Anch., Teatro, 10"
nambi-paîa,"peso de orelha, orelheira","VLB, I, 42"
"-Setápe i nupã-nupãsara? -Setá, sesé oîoporu-porûabo...","Eram muitos os que estavam a castigá-lo? -Eram muitos, ficando a revezar-se uns com os outros nisso.","Ar., Cat., 60"
...Ybaté koty ogûetymã moîarukari...,Para cima suas pernas mandou pregar.,"Ar., Cat., 9"
ybype,"em baixo, na lájea","VLB, I, 110"
sapi'a'okypyra,castrado,"VLB, I, 66"
Xe apûa'ĩ.,Eu sou curto.,"VLB, I, 88"
Ereîekuakupe nde remirekó membyrara resé?,Fizeste resguardo por causa do parto de tua mulher?,"Ar., Cat., 99"
Aîmombe'uaíb.,Digo mal dele.,"VLB, II, 28"
'arakubeté,dia muito quente,"Ar., Cat., 7"
Aîubé.,Jazo acordado.,"VLB, I, 20"
nhũasyma,campo limpo,"VLB, II, 84"
...îandé monhemosako'i-potá.,...querendo fazer-nos preparar.,"Ar., Cat., 154"
'Y pupé asé 'apiramõû.,Com água nos molham a cabeça.,"Ar., Cat., 80v"
Opá xe uba îesyî.,Ambas as minhas coxas adormeceram.,"Anch., Teatro, 26"
"Tieté kó angaîpaba maniîabo mã! - Ah, que mau é o pecado! Tieté kó ahẽ maniîabomã!",Que mau que é fulano!,"VLB, II, 65"
...Marane'ymyîaramo sekó mo'anga'upa.,Pensando falsamente que ele é o que tem a saúde.,"Ar., Cat., 66v"
Anheãî.,Enruguei-me.,"VLB, I, 117"
Xe aépe xe ybõû.,Flechou-me em lugar vital.,"VLB, II, 42"
Opá xe ramỹîa ma'epûera aîtyk.,Todos os bens de meus avós joguei fora.,"Léry, Histoire, 356"
Agûatá-gûatá tenhẽ.,Fico andando à toa.,"VLB, II, 140"
Xe reburusu. - Eu sou grande. Seburusu,Ele é grande.,"Anch., Arte, 13v"
Asé sybápe cruz moíni asé nhy'ã 'arybo bé.,Em nossa testa põe a cruz e sobre nosso coração também.,"Ar., Cat., 81"
Apore'ym.,Dou de beber às pessoas.,"VLB, I, 122"
Aîmondó-monẽmo.,Deveria mandá-lo.,"Anch., Arte, 7v"
nhemosaraîxûera,"gozador, brincalhão, zombeteiro","VLB, I, 59"
Xe nhe'enga apyrûerype ahẽ nhe'engi.,"No final de minha fala, ele falou.","VLB, I, 79"
Nde morerekoar xe ri...,Tu és guardião de mim.,"Valente, Cantigas, I, in Ar., Cat., 1618"
Aîtyapyî.,Esgotei a água dele.,"VLB, I, 125"
Aîpysy-potá-katu morepenhandara ri.,Quero muito apanhá-las com os que atacam as pessoas.,"Anch., Teatro, 154, 2006"
Aîmoabangab.,Desobedeci a ele.,"VLB, I, 99"
Xe rendypuk.,Eu sou luzente.,"VLB, II, 26"
"Eîori, xe îara sy, xe 'anga pupé serupa!","Vem, mãe de meu senhor, para fazê-lo estar contigo dentro de minh'alma.","Anch., Poemas, 102"
"-Abápe nde? -Saraûaîa, aîuruîubupîarûera. - Quem és tu?","Sarauaia, adversário antigo de franceses.","Anch., Teatro, 44"
...Marãpe... nd'ereîase'o-mirĩngatutenhẽ-motari...?,Por que não queres chorar nem mesmo um pouquinho?,"Ar., Cat., 157"
Ygasápe kaûĩ-tuîa a'e ré îamomotá...,"Depois disso, o cauim transbordante nas igaçabas atrai-os.","Anch., Teatro, 28"
"Îandé-te, îandé retama... t'ixepenhan...","Nós, ao contrário, havemos de ir ao encontro da nossa pátria.","Anch., Teatro, 184"
N'i tybi xe rasapaba ogûataba'e supé.,Não há como passar por mim para os que caminham.,"Anch., Poemas, 158"
Emonã sekó suí arakaîá sapekóû...,"Assim, por causa de seu procedimento, os aracajás os frequentam.","Anch., Teatro, 36"
pindaba,"tempo, lugar, modo, etc. de aparar, de rapar, etc.","Anch., Arte, 3"
Oré pysyrõ-te mba'eaíba suí.,Mas livra-nos do mal!,"Ar., Cat., 13v"
...nhãîmbiara pupé-katu oîekotyrungyba'e,os que põem armadilhas bem nos caminhos das fontes,"Anch., Poesias, 268"
Xe rakûar.,Eu estou febril.,"VLB, II, 94"
Aîpokesá-rab.,Solto o embrulho dele.,"VLB, I, 98"
I angaturam ko'yré... xe remiarõ îandune.,Serão bons doravante os que eu guardo de costume.,"Anch., Teatro, 50"
Asó 'y gûabo.,Vou para beber água.,"VLB, I, 154"
"Nde serã i poepyka tekomemûã..., poropotara... ereîapi ko'arapukuî.","Tu, talvez, para retribuir, a vida má, o desejo sensual atiras nele o dia todo.","Anch., Doutr. Cristã, II, 112"
Oín uãpe Tupã Santa Maria rygépe...?,Estava já Deus no ventre de Santa Maria?,"Ar., Cat., 35, 1686"
Xe tekoaraibor gûitekóbo.,"Eu estou-me homiziando, eu estou vivendo fugido.","VLB, I, 140"
Eremondarõpe nde remirekó suí?,Foste traidor de tua esposa?,"Anch., Doutr. Cristã, II, 92"
Eresa'angype abá-memûã?,Imitaste os homens maus?,"Anch., Doutr. Cristã, II, 100"
ahẽ pabẽ,com ele,"VLB, I, 77"
o îoakypûé-kypûeri,uns atrás dos outros,"VLB, I, 154"
...Ybyrá pupé omanõmo...,Morrendo na cruz.,"Anch., Poemas, 90"
Aîepó-mopiririk.,Faço-me estalar as mãos.,"VLB, I, 68"
gûa'a-gûa'a,altibaixos,"VLB, I, 33"
Se'yî nhẽ nde rekasara.,São numerosos os que te procuram.,"Valente, Cantigas, IV, in Ar., Cat., 1618"
Aroîyb aoba.,Amainei a vela.,"VLB, I, 33"
"Ma'ẽne, tupinambá Paragûasupendarûera... opakatu îamombá.","Olha, arrasamos todos os tupinambás que estavam no Paraguaçu.","Anch., Teatro, 14"
"Rumby... oîeepyka, xe rapîá.","Enfim, tendo-se vingado, obedeceram-me.","Anch., Teatro, 140"
"Te'õ rerobyka é, xe angaîpá-tubixagûera amosẽne...","Aproximando-me da morte, meus antigos e grandes pecados farei sair.","Anch., Teatro, 38"
"T'osẽ Anhanga i xuí, gûekó-poxy rerosyîa.","Que saia o diabo dela, apartando-se com seu mau proceder.","Anch., Poemas, 146"
A'am.,Levanto-me.,"VLB, II, 21"
Osó nhẽmope asé ybakype o nhemongaraibireme?,"Iria a gente para o céu ao batizar-se, sem mais?","Anch., Doutr. Cristã, I, 201"
Abá nhe'engûerape aîpó?,Palavras de quem são aquelas?,"Ar., Cat., 32v"
metara kanga,osso de tembetá,"VLB, I, 147"
Oîmomondarõba'e abé abá mba'e resé,O que faz também um homem furtar alguma coisa,"Ar., Cat., 72v"
"...Ybaté koty ogûetymã moîarukari, 'yba koty o akanga.","Para cima mandou pregar suas pernas e, para baixo, sua cabeça.","Ar., Cat., 9"
Turagûera moetesabamo... kó 'ara îamoeté.,"Como modo de honrar sua vinda, comemoramos este dia.","Ar., Cat., 5"
Aî'apurupã.,Dou-lhe pancadas na cabeça.,"VLB, II, 63"
Xe akanunduk.,"Eu estou febril, eu tenho febre.","VLB, I, 136"
Ereroker-etápe îoamotare'yma?,Dormiste com ódio muitas vezes?,"Ar., Cat., 101v"
-Marãpe ereîkó kaûĩ suí esabeypó? Ereîkomemûãpe a'ereme?,"Como ages embriagando-te de cauim? Fazes o que não deves, então?","Ar., Cat., 111v"
Nd'opo'ẽî xûé-tepe asé o îuru pupé i mbo'iragûama reséne?,Mas não enfiará a gente a mão em sua boca para parti-lo?,"Anch., Doutr. Cristã, I, 217"
Oú tenhẽ xe pe'abo “abaré” 'îaba...,Vêm em vão para me afastar os ditos “padres”.,"Anch., Teatro, 8"
mbo'yrysy,cordão de contas,"VLB, I, 139"
"...T'anhemombe'une kori bé, te'õ xe resapy'a e'ymebé...","Hei de me confessar ainda hoje, antes de me surpreender a morte.","Ar., Cat., 76v"
"Adão, oré rubypy...","Adão, nosso primeiro pai","Anch., Poemas, 130"
"Peteumẽ xe îabé peîkó-potá, ...xe monẽ pe îabé gûitekóbomo opá mba'easy aîporará ikó 'ara pupé Tupã monhyrõmomo!","Guardai-vos de querer ser como eu, ...mas, antes, se eu estivesse como vós, todas as coisas dolorosas sofreria neste mundo para aplacar a Deus.","Ar., Cat., 165v"
Oîkó-po'ipe i tupã se'õmbûera pupé?,Deixou de estar sua divindade em seu cadáver?,"Ar., Cat., 44"
I aputu'uma t'a'u.,Hei de comer seus miolos.,"Anch., Teatro, 66"
"Aîpoba'e tene nd'oîabyî mboîa, mba'etakó mboîa o emindu'u rekobé mokanhemukar-y îanondé, o ekobé reîari o akanga patukasagûerype.","Esses, enfim, não diferem da cobra, isso porque a cobra, antes de fazer destruir a vida daquele que morde, deixa sua própria vida ao pisarem sua cabeça.","Ar., Cat., 241, 1686"
...N'aker-angáî sekasápe...,"Não dormi, absolutamente, para procurá-los.","Anch., Teatro, 48"
O emiamotare'yma rekoápe osó-potare'ymba'e sepîaka suí.,O que não quer ir para onde está o que ele detesta para não o ver.,"Ar., Cat., 70-70v"
'Useîbora mbo'y'u.,Dar de beber aos sedentos.,"Ar., Cat., 18"
Tupã é abaré oîmoîa'ok gûekobîaramo...,O próprio Deus distinguiu o padre como seu substituto.,"Anch., Doutr. Cristã, II, 77"
"...Nde resemõ arinhama, taîasu.",Sobram-te galinhas e porcos.,"Anch., Poemas, 152"
Xe keranama mombaka...,De meu pesado sono despertando-me.,"Anch., Poemas, 92"
"A'epe supindûare'yma resé Tupã renõîndara, marã?","E o que evoca a Deus pelo que não é verdade, que acontece?","Ar., Cat., 67v"
"Aûîé! Anhe'eng, Saraûaî!","Basta! Falo eu, Sarauaia!","Anch., Teatro, 30"
.....Akanetá-pyrã-beraba reroínano.,Tendo também coroas vermelhas e brilhantes...,"Ar., Cat., 168v"
Sesé i nhemonanagûera ra'angabamo mendá îarekó.,"Como símbolo de sua união com ela, temos o casamento.","Ar., Cat., 132v"
...o poromonã-monana.,...ficando a confundir as pessoas.,"Anch., Teatro, 140, 2006"
Aîpyapasamoín.,Ferrei-o.,"VLB, I, 138"
...Oroîekok nde resé.,Apoiamo-nos em ti.,"Anch., Poemas, 172"
A'epe n'oerekóî pe rubixaba ma'e?,E vosso rei não tem riquezas?,"Léry, Histoire, 362"
"Mbiaûsube'yma mbiaûsubeté resé omendaryba'e “-miaûsube'yma kó” o'îaba'upa, n'omendari...","O forro que se casou com uma escrava verdadeira, pensando falsamente “-eis que esta é forra”, não se casou.","Ar., Cat., 131v"
...Kûeîbo nhẽ xe rerobaka.,Fazendo-me mudar de direção por aí.,"Anch., Teatro, 164, 2006"
Onhemomotá xe 'anga nde 'anga poranga ri.,Atraiu-se minha alma pela beleza de tua alma.,"Anch., Poemas, 140"
Aîar xe aseî.,Tomei-o às costas.,"VLB, II, 131"
anhangaíba...,diabo mau,"Anch., Poemas, 90"
itaîu-po'yra,colar de ouro,"VLB, I, 76"
Kokoty paranã aé rame'ĩ o abaetéramo erimba'e gûekoagûera sosé...,"E, por outra parte, semelhantemente, o próprio mar será mais terrível do que foi seu costume.","Ar., Cat., 159v"
Ere'upe so'o i gûabe'yma pupé?,Comeste carne no tempo de não a comer?,"Anch., Doutr. Cristã, II, 107"
...Xe ratá-te ogûé!,Mas meu fogo apagou-se.,"Anch., Teatro, 146"
marã-te-p'iã-ne?,"E, pois, como há isto de ser?","VLB, I, 121"
...mendara momoxysara...,...o que perverte uma casada...,"Ar., Cat., 109"
mytamytá-ypy,topo da escada,"VLB, II, 132"
"Pe ratãngatu resé gûiîekoka, asó-potá...","Apoiando-me na vossa valentia, quero ir.","Anch., Teatro, 146-148"
...Moka'ẽ itá îurá 'arybo sesyri.,"Sobre grelhas de moquear, de ferro, assaram-no.","Ar., Cat., 7"
Xe îepykixûer.,Eu sou vingativo.,"VLB, II, 146"
"Pe'ĩ, îandé bé îaîekuakub...","Eia, nós também jejuemos.","Ar., Cat., 9v"
Marangotype i angaturamba'e nongine?,Em que lado porá os que são bons?,"Ar., Cat., 47"
Aîerobîatenhẽ.,Vanglorio-me.,"VLB, II, 141"
Aîepotar.,Cheguei (por mar).,"VLB, I, 72"
Ereîmombe'upe abá rera abaré nde monhemombegûápe...?,Contas o nome de alguém quando te confessa o padre?,"Ar., Cat., 108"
Xe îuru-bok.,Eu estou com a boca entreaberta.,"VLB, I, 18"
Oroîoerobyk.,Achegamo-nos um ao outro.,"VLB, I, 73"
Xe pinim.,Eu tenho pintas.,"VLB, II, 78"
Abá ranhẽpe erimba'e Tupã oîmonhang-ypy ybaka porama?,Quem Deus fez primeiro como habitantes do céu?,"Ar., Cat., 44"
...Oka'ugûasu pabẽ apŷaba kunhã ndibé...,"Bebem muito todos, os homens com as mulheres.","Anch., Teatro, 134"
Mba'erama ripe asé tĩme o endy moíni?,Por que põe sua saliva no nariz da gente?,"Ar., Cat., 81v"
Sereroĩmbyra abá-mondá apŷabaíba... rekoaba é.,Ser chamado ladrão é característica do homem mau.,"Ar., Cat., 107v"
Iîamuru opabenhẽ pekaî oîepegûarane.,Ainda bem que todos vós queimareis à uma.,"Anch., Teatro, 184, 2006"
Aûîebé-te asó.,Debalde vou.,"Anch., Arte, 23v"
T'oú serasóbo pá...,Que venha para levá-los todos.,"Anch., Teatro, 184"
I mongaraibypyretá oîepegûasu îasûá...,Os cristãos como uma unidade.,"Ar., Cat., 49v"
Kó ygara ruri. Osó-te.,Cá vem um barco. Não faz senão ir.,"VLB, II, 47"
...Mba'e-poxy resé nde ara'a...,tua excitação pelas coisas más,"Anch., Doutr. Cristã, II, 79"
Xe asang.,Eu sou rechonchudo.,"VLB, II, 98"
Nde resa'y eîmondyky...,Destila tuas lágrimas.,"Anch., Doutr. Cristã, II, 112"
"...T'oîkuab ybaka piara, Tupana remimonhanga.","Que conheça o caminho do céu, obra de Deus (lit., o que Deus faz).","Valente, Cantigas, VI, in Ar., Cat., 1618"
Nde îuru'arype abá amõ resé?,Tu falaste mal de alguém?,"Anch., Doutr. Cristã, II, 100"
...Tupã supé ûiîerurébo...,Orando eu para Deus.,"Anch., Teatro, 40"
Aîopoî ahẽ so'o pupé.,Reparti com ele a carne.,"VLB, II, 66"
Aûîé aîub.,Estou bem (deitado). Aûîé aîkó. - Estou bem.,"VLB, I, 54"
Eresepy-mondykype marãtekó repyramo?,Fizeste chegar o pagamento como retribuição de um trabalho?,"Ar., Cat., 107v"
